pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
122.325,-141.0748,0.0,top,,,,,,tht
123.8998,-141.8622,0.0,top,,,,,,tht
122.325,-140.2874,0.0,top,,,,,,tht
122.325,-141.8622,0.0,top,,,,,,tht
123.1124,-141.8622,0.0,top,,,,,,tht
123.8998,-141.0748,0.0,top,,,,,,tht
122.325,-139.5,0.0,top,,,,,,tht
123.1124,-141.0748,0.0,top,,,,,,tht
123.8998,-139.5,0.0,top,,,,,,tht
123.1124,-140.2874,0.0,top,,,,,,tht
123.1124,-139.5,0.0,top,,,,,,tht
123.8998,-140.2874,0.0,top,,,,,,tht
84.175,-87.5,0.0,top,,,,,,tht
106.325,-76.9,0.0,top,,,,,,tht
112.875,-76.85,0.0,top,,,,,,tht
126.475,-97.95,0.0,top,,,,,,tht
115.175,-73.6,0.0,top,,,,,,tht
119.775,-91.2,0.0,top,,,,,,tht
120.675,-91.2,0.0,top,,,,,,tht
114.175,-73.5,0.0,top,,,,,,tht
84.175,-89.55,0.0,top,,,,,,tht
102.975,-76.85,0.0,top,,,,,,tht
104.275,-73.5,0.0,top,,,,,,tht
84.225,-91.75,0.0,top,,,,,,tht
104.075,-89.85,0.0,top,,,,,,tht
84.225,-90.85,0.0,top,,,,,,tht
84.175,-88.55,0.0,top,,,,,,tht
125.375,-98.05,0.0,top,,,,,,tht
126.475,-98.8,0.0,top,,,,,,tht
115.675,-76.9,0.0,top,,,,,,tht
105.425,-73.45,0.0,top,,,,,,tht
98.475,-95.35,0.0,top,,,,,,tht
126.475,-97.2,0.0,top,,,,,,tht
125.3475,-98.8,0.0,top,,,,,,tht
99.575,-95.4,0.0,top,,,,,,tht
115.025,-96.5,0.0,top,,,,,,tht
113.925,-96.45,0.0,top,,,,,,tht
104.975,-89.85,0.0,top,,,,,,tht
84.275,-93.25,0.0,top,,,,,,tht
113.1,-105.2125,0.0,top,C1,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
91.525,-120.375,180.0,top,C10,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
102.125,-124.8,0.0,top,C100,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
98.0925,-129.9925,-90.0,top,C101,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
94.1175,-127.7925,-90.0,top,C102,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
97.525,-127.8,-90.0,top,C103,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1u,smt
102.51,-120.5,0.0,top,C11,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
103.325,-122.9,0.0,top,C12,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
98.5175,-127.7925,-90.0,top,C13,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
95.0925,-127.8,-90.0,top,C14,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
91.475,-123.575,180.0,top,C15,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
99.525,-116.6,0.0,top,C16,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
84.1175,-108.8175,-90.0,top,C17,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
108.4375,-141.875,0.0,top,C18,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
107.045,-138.6925,-90.0,top,C19,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
107.25,-104.0645,90.0,top,C2,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
84.813555,-134.589809,-45.0,top,C20,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,18p,smt
89.763555,-129.489809,-45.0,top,C21,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,18p,smt
82.8525,-93.861395,180.0,top,C22,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10n,smt
110.5825,-124.9,0.0,top,C23,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
115.0,-130.075,0.0,top,C24,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
130.9375,-138.4,180.0,top,C25,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10u,smt
104.6,-108.4625,0.0,top,C3,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
130.939249,-139.900002,0.0,top,C33,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
130.964249,-141.700002,0.0,top,C34,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
120.7375,-132.675,180.0,top,C35,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10u,smt
126.535751,-132.674998,0.0,top,C36,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10u,smt
120.376749,-147.487502,90.0,top,C37,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,47u,smt
125.751749,-147.487502,90.0,top,C38,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,47u,smt
125.4975,-100.9675,90.0,top,C39,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10n,smt
104.525,-106.8,0.0,top,C4,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
126.7225,-101.525,-90.0,top,C40,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
131.485,-99.3625,90.0,top,C41,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7u,smt
