Designator,Footprint,Quantity,Value,LCSC Part #
"0V9, 1V8, 3V3",TestPoint_THTPad_D2.0mm_Drill1.0mm,3,TestPoint_Probe,
"C1, C25, C35, C36, C46, C47, C62",0603,7,10u,
"C10, C100, C101, C102, C11, C12, C13, C14, C15, C16, C17, C18, C19, C23, C24, C56, C59, C60, C9, C96, C97, C98, C99",0603,23,100n,
"C103, C33, C34, C44, C45, C48, C49, C57, C58, C61",0603,10,1u,
"C20, C21",0603,2,18p,
C37,0603,1,330p,
C38,0603,1,18n,
C39,0603,1,22p,
C40,0603,1,39p,
"D1, D2",0603,2,D_Schottky,
"D3, D4, D5, D6",D_SOD-882,4,PESD5V0L1BSL,
F1,0805,1,2A,
FB1,0805,1,220R,
FB2,0603,1,600R @ 100MHz,
J1,MOLEX_2137160001,1,2137160001,
J2,HARWIN_M50-3551042,1,M50-3551042,
J4,PinHeader_1x02_P2.54mm_Vertical,1,PINHD_1x2_Male,
L1,0805,1,0.82u,
L2,0805,1,10u,
"MCLK, NRST, XIN, XOUT",TestPoint_Pad_D2.0mm,4,TestPoint_Probe,
R13,0805,1,220,
"R14, R15, R16, R17, R18, R19",0805,6,22,
R25,0805,1,13K,
R27,0805,1,10.7k,
R28,0805,1,84.5K,
R29,0805,1,90.9k,
R30,0805,1,9.09k,
R31,0805,1,15k,
R32,0805,1,DNP,
"R35, R36",0805,2,5.1k,
R37,0805,1,100k,
R40,0805,1,10K,
R41,0805,1,1M,
"R42, R43",0805,2,2k,
"R7, R8, R9",0805,3,10,
U1,SON65P200X200X80-7N,1,NCV8187AMTW090TAG,
U11,RE-20-1_ADI,1,ADP5071AREZ-R7,
U2,QFN_F60B-C24_XMO,1,XU316-1024-QF60B-C24,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP1727-1802xSN,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP1727-3302xSN,
U8,SOIC_150MIL_WIN,1,W25Q16JVSNIQ,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,Crystal_GND24,
Y2,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,LMK6CE049152CDLFR,
Y3,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASDLJ-E-45.1584MHz,
