Designator,Mid X,Mid Y,Rotation,Layer
C1,96.205,-103.94,0.0,top
C10,98.699,-112.538161,90.0,top
C100,94.274,-123.138161,270.0,top
C101,89.45,-119.1,180.0,top
C102,89.145,-115.07,0.0,top
C103,91.835,-118.23,270.0,top
C11,100.076992,-124.851992,315.0,top
C12,96.174,-124.338161,270.0,top
C13,89.475,-120.611839,180.0,top
C14,92.075,-115.26,90.0,top
C15,95.499,-112.488161,90.0,top
C16,102.455,-120.76,270.0,top
C17,110.2565,-105.130661,180.0,top
C18,100.2025,-144.0,0.0,top
C19,99.125,-139.725,90.0,top
C20,84.484191,-105.826716,225.0,top
C21,89.584191,-110.776716,225.0,top
C23,99.0075,-132.3,0.0,top
C24,103.425,-137.475,0.0,top
C25,106.85,-100.6375,90.0,top
C33,105.349998,-100.639249,270.0,top
C34,103.549998,-100.664249,270.0,top
C35,112.575,-90.4375,90.0,top
C36,112.575002,-96.235751,270.0,top
C37,97.512496,-90.076749,0.0,top
C38,97.537498,-95.451749,0.0,top
C39,100.399998,-91.014249,90.0,top
C40,100.399998,-94.489249,270.0,top
C44,86.507526,-89.00336,90.0,top
C45,84.257526,-89.00336,90.0,top
C46,86.545026,-98.86586,0.0,top
C47,93.377115,-98.838,0.0,top
C48,93.114615,-89.0005,90.0,top
C49,91.264615,-88.9755,90.0,top
C56,100.2025,-144.965,0.0,top
C57,100.24,-146.465,0.0,top
C58,100.24,-148.475,0.0,top
C59,114.775,-139.45,90.0,top
C60,114.825,-145.125,90.0,top
C61,94.048293,-102.249293,0.0,top
C62,94.825,-106.18,270.0,top
C9,104.092,-116.0925,0.0,top
C96,96.35,-126.6,180.0,top
C97,97.124,-111.113161,90.0,top
C98,104.399,-119.073161,270.0,top
C99,92.625,-123.475,270.0,top
D1,110.199998,-88.739249,90.0,top
D2,110.1875,-97.15,0.0,top
D3,90.975,-129.2,180.0,top
D4,89.375,-129.2,0.0,top
D5,99.91,-142.85,180.0,top
D6,105.375,-144.205,270.0,top
F1,97.335,-145.35,90.0,top
FB1,97.335,-141.5875,90.0,top
FB2,89.4115,-117.538161,0.0,top
J1,90.25,-145.3,0.0,bottom
J2,110.39,-142.715,90.0,top
J4,102.895,-140.6,270.0,bottom
L1,107.662498,-87.851749,180.0,top
L2,109.35,-94.6625,270.0,top
R13,84.594071,-110.416836,135.0,top
R14,99.325,-129.4,180.0,top
R15,105.875,-135.1,270.0,top
R16,96.275,-134.3,270.0,top
R17,103.825,-129.4,0.0,top
R18,91.125,-133.75,270.0,top
R19,89.225,-133.75,270.0,top
R25,104.849998,-85.651749,0.0,top
R27,101.649998,-98.876749,90.0,top
R28,104.849998,-83.726749,180.0,top
R29,99.649998,-98.876749,90.0,top
R30,97.724998,-93.726749,180.0,top
R31,97.699996,-91.801749,180.0,top
R35,93.525,-140.9,180.0,top
R36,84.0,-144.975,90.0,top
R40,105.375,-147.205,90.0,top
R41,91.324,-112.438161,225.0,top
R42,108.724,-115.85,0.0,top
R43,108.724,-113.9,0.0,top
R7,109.225,-118.9,45.0,top
R8,112.825,-114.9,90.0,top
R9,106.425,-125.0,0.0,top
U11,104.825,-92.9,270.0,top
U2,97.099,-118.088161,270.0,top
U3,91.995,-105.2575,180.0,top
U6,85.73,-94.375,0.0,top
U7,92.571615,-94.35,0.0,top
U8,108.024,-108.530661,0.0,top
Y1,87.084191,-108.226716,315.0,top
Y2,103.425,-134.975,180.0,top
Y3,99.375,-134.725,0.0,top
